ID_SALES,negative,neutral,positive
HD1098A,1,1,1
HD10A,1,0,2
HD1101A,0,3,0
HD1105A,1,1,1
HD1106A,1,2,0
HD1112T,0,0,3
HD1113A,0,2,1
HD1115T,1,0,2
HD1117A,2,1,0
HD1118A,0,0,3
HD1119A,0,0,3
HD111T,3,0,0
HD1120A,2,0,1
HD1123A,0,3,0
HD1124A,1,0,3
HD1126A,0,1,2
HD1127A,0,3,0
HD112A,0,0,3
HD1131T,0,1,2
HD1133T,2,1,1
HD1134A,0,2,1
HD1135A,2,1,0
HD1139A,2,0,1
HD1141A,0,0,3
HD1143A,0,0,3
HD1146A,0,1,2
HD1150A,0,2,1
HD1152T,1,0,2
HD1153T,0,0,3
HD1154T,0,1,2
HD1155A,2,0,1
HD1156T,1,1,1
HD115A,1,3,0
HD1161A,0,1,2
HD1162A,1,1,1
HD1163A,1,1,1
HD1164A,1,0,2
HD1167A,2,0,1
HD1168A,1,2,0
HD116A,1,2,0
HD1170A,1,1,1
HD1172A,0,0,3
HD1174A,1,0,2
HD1176A,1,1,1
HD1177T,1,0,2
HD1180A,0,0,3
HD1182A,1,1,1
HD1183A,0,3,0
HD1184A,0,0,3
HD1187A,1,0,2
HD1188T,2,0,1
HD1189T,2,1,0
HD118A,0,1,2
HD1190A,1,0,2
HD1191A,0,0,3
HD1192A,0,1,2
HD1193A,1,1,2
HD1194A,1,0,2
HD1196A,1,1,1
HD1198A,0,2,1
HD1199A,1,0,2
HD119A,0,0,3
HD11A,2,0,1
HD1202A,1,0,3
HD1203A,0,1,2
HD1204A,0,2,1
HD1205A,0,2,1
HD1206A,0,1,2
HD1209A,0,2,1
HD12110,2,1,0
HD1213A,0,1,2
HD1214A,1,1,1
HD1215T,1,1,1
HD1220A,1,0,2
HD1221T,0,1,2
HD1222A,1,2,0
HD1225A,2,1,0
HD1227A,0,0,3
HD1228A,0,1,2
HD1230A,1,1,1
HD1231T,2,1,0
HD1232A,3,0,0
HD1233A,0,1,2
HD1235A,1,0,2
HD1236A,1,0,2
HD1239A,2,1,0
HD123A,1,2,0
HD1240A,1,0,2
HD1243T,1,0,2
HD1244A,0,0,3
HD1245T,0,2,1
HD1246A,1,1,1
HD1247A,1,2,0
HD1248A,1,2,0
HD1251A,1,2,0
HD1252A,0,0,3
HD1253A,1,1,1
HD1255A,2,0,1
HD1258A,2,0,1
HD1259A,1,1,1
HD125A,0,1,2
HD1268T,0,2,1
HD1269A,1,2,0
HD1275A,1,1,1
HD1277A,1,1,1
HD1278A,2,0,1
HD1279A,2,0,1
HD1285A,0,1,2
HD128A,1,0,2
HD1291A,3,0,0
HD1292A,0,0,3
HD1294A,1,0,2
HD1298A,1,1,1
HD1299A,1,0,2
HD129A,1,0,2
HD1300A,1,1,1
HD1302A,2,1,0
HD1303A,2,0,1
HD1305A,3,0,0
HD1306A,1,0,2
HD1307A,1,2,1
HD1308A,2,1,0
HD130A,2,0,1
HD1314A,1,2,0
HD1318A,0,0,3
HD1319A,1,1,1
HD1320A,1,0,2
HD1322A,2,1,0
HD1324A,1,2,0
HD1325A,3,0,0
HD1327A,2,0,1
HD132A,0,0,3
HD1334A,2,1,0
HD1337A,2,2,0
HD1338A,2,1,0
HD133A,0,1,2
HD1340A,1,0,2
HD1341A,0,2,1
HD1342A,0,3,0
HD1343A,2,1,0
HD1344A,1,2,1
HD1347A,1,1,1
HD1348T,1,0,2
HD1349T,2,1,0
HD134A,2,0,1
HD1350A,1,0,2
HD1351T,0,0,4
HD1353A,1,1,1
HD1356A,3,0,0
HD1357A,3,0,0
HD1361A,0,1,2
HD1365A,3,0,0
HD1366A,0,1,2
HD1368A,1,2,0
HD136A,1,2,0
HD1371A,0,0,3
HD1372A,2,0,1
HD1373A,1,0,2
HD1378A,3,0,0
HD1382A,0,1,2
HD1386A,1,0,2
HD1388T,1,0,2
HD1390T,0,1,2
HD1392A,1,0,2
HD1393A,1,0,2
HD1395A,0,2,1
HD1396A,2,0,1
HD1399A,1,0,2
HD1400T,1,2,0
HD1404A,1,1,1
HD1406A,1,1,1
HD1409A,1,0,2
HD1410A,1,0,2
HD1411A,3,0,0
HD1412A,1,0,2
HD1413A,2,1,0
HD1415A,0,1,2
HD1417A,0,2,1
HD1418T,1,0,2
HD1419A,3,0,0
HD141T,2,2,0
HD1420A,1,2,0
HD1421A,1,0,3
HD1423T,0,2,1
HD1425T,0,1,2
HD1426T,1,0,2
HD1428T,0,0,3
HD1431A,1,0,2
HD1432A,1,1,1
HD1438A,0,1,2
HD1440A,2,0,1
HD1441T,2,0,1
HD1443A,0,3,0
HD1445A,1,0,2
HD1447T,2,1,0
HD1448T,0,2,1
HD1450A,2,1,1
HD1452A,1,2,0
HD1454T,2,0,1
HD1455A,1,0,2
HD1456A,1,0,3
HD1457A,1,2,0
HD1458A,1,2,0
HD1459A,1,1,1
HD145A,1,1,1
HD1461A,3,0,0
HD1463A,2,1,0
HD1465A,1,0,2
HD1466A,0,3,0
HD1467T,1,0,3
HD1471A,0,0,3
HD1472A,1,2,0
HD1474T,2,1,1
HD1478A,0,0,3
HD1479A,0,0,3
HD1481A,1,1,1
HD1482A,1,1,1
HD1485T,1,0,2
HD1486T,2,1,0
HD1488T,3,0,0
HD148A,0,1,2
HD1492A,0,2,1
HD1495A,0,0,3
HD1497A,0,0,3
HD1498A,2,0,1
HD1504A,0,0,3
HD1509A,1,0,2
HD150A,1,0,2
HD1511A,1,1,2
HD1513A,0,1,2
HD1515T,0,3,0
HD1516A,1,0,2
HD1518A,1,0,2
HD151A,3,0,0
HD1520A,0,2,1
HD1522A,1,1,1
HD1523A,2,0,1
HD1526A,0,3,0
HD1528A,0,0,3
HD1531A,1,0,2
HD1532A,1,1,1
HD1533A,1,0,2
HD1535A,1,0,2
HD1536T,0,0,3
HD1537A,2,0,1
HD1538T,0,1,2
HD153A,1,1,1
HD1543A,1,1,1
HD1545A,1,1,1
HD1546A,1,2,0
HD1548A,1,0,2
HD154A,1,0,2
HD1550T,0,1,2
HD1551A,1,2,0
HD1552A,0,0,3
HD1553A,1,1,1
HD1556A,1,1,1
HD1558A,3,0,0
HD1561A,2,0,1
HD1562T,2,0,1
HD1563A,0,2,1
HD1564A,2,0,1
HD1568A,3,1,0
HD1569A,0,0,3
HD156A,1,0,2
HD1570A,1,1,1
HD1571A,0,1,2
HD1572A,1,1,1
HD1573A,0,0,3
HD1578A,0,0,3
HD1579A,1,2,0
HD1580A,2,1,0
HD1584A,1,2,0
HD1585A,1,0,2
HD1586A,1,2,0
HD1588A,2,0,1
HD1592T,0,0,3
HD1597T,1,1,1
HD1602T,1,1,1
HD1604T,1,1,1
HD1607A,1,0,2
HD1609A,0,0,3
HD1610A,1,2,0
HD1613A,2,0,1
HD1615A,1,1,1
HD1617T,0,1,2
HD1619A,1,1,1
HD1623A,0,1,2
HD1625A,2,1,0
HD1626A,0,2,1
HD1630A,1,1,1
HD1631A,1,1,2
HD1632A,2,1,0
HD1633T,1,1,1
HD1634T,2,1,0
HD1637A,0,3,0
HD1639A,1,0,2
HD1641A,1,2,0
HD1643A,0,0,3
HD1644T,0,0,3
HD1647A,3,1,0
HD1648A,3,0,0
HD1650A,2,0,1
HD1654T,1,0,2
HD1655A,1,1,1
HD1656A,1,2,0
HD1658T,0,0,3
